abacus abako
monopolised akaparahin
monopolising paglagom
monopolist monopolista
monopolistic monopolistik
monopolize sarilinin
monopolized akaparahin
monopolizing paglagom
monopoly monopolyo
monoxide monoksaid
monsieur ginoo
monsters halimaw
monstrous napakapangit
montage monteids
month buwan
monthlies regla
months buwan
monument bantayog
monuments monumento
moo unga
moodiness kapanglawan
moody sumpungin
moons Buwan
moor magpugal
moored nakadaong
mooring pagpupugal
Moorish Malati
moot pagtalunan
mopeds Moped
moraine morein
morale moral
moralising moralizing
moralities etika
morality moralidad
moralize pangaralan
morals ugali
moratorium moratoriyum
Moravia Morabya
Moravian Morabyan
moray pinangitan
morbidity masakit
mordant masakit
Mordecai Mardocheo
more mas
mores ugali
morgue morge
moribund namamatay
morn umaga
morning umaga
morocco Moroko
Moros Moro
morpheme morpema
morpheus Mopius
morphia morpina
morphine morpina
morphology morpolohiya
morrow kinabukasan
morsel kapiraso
mortally makamamatay
mortgage sangla
mortgagee mogedyi
mortgages pagkakasangla
mortgagor mogedyer
mortice magmitsa
mortification pagkapahiya
mortifying mapanghamak
mortise imitsa
mortuary punerarya
mosaic mosaik
moscow Mosku
Mosiah Mos
mosque mosk
mosques moske
mosquito lamok
mosquitoes lamok
moss lumot
mossy malumot
most karamihan
mostly nakararami
motels motel
motet mowtet
moth tanga
mother ina
motherinlaw Biyenan
motif paksa
motifs motif
motility likot
motion paggalaw
motions galaw
motivate ganyakin
motivated udyok
motivation pagganyak
motivational Pagganyak
motive motibo
motives motibo
motorbike motorsiklo
motorcycle motorsiklo
motorcycles motorsiklo
motorcyclist motorsiklista
motorised motorized
motorists motorista
motto kasabihan
moulder tagapagmolde
moulding paghubog
mouldings moldings
moulds molds
mouldy amagin
moult malugon
mound punso
mountain bundok
mountaineering pamumundok
mountainous mabundok
mountains bundok
mountebank magdaraya
mounted inimuntar
mounting tumataas
mourn humagulgol
mournful malungkot
mourning pagluluksa
mourns nananangis
moustache bigote
moustaches mustaches
mouth bibig
mouthpiece tagapagbalita
mouthwatering nakatatakam
move ilipat
moveable naigagalaw
moved inilipat
movement kilusan
movements paggalaw
moves gumagalaw
moveth gumagalaw
movie pelikula
movies pelikula
moving gumagalaw
mow gapasin
mower tagagapas
mowing paggapas
mown tuyong
mr Ginoo
mrs Gng
much marami
muck putik
mucky marumi
mucous mauhog
mucus uhog
mud putik
muddle pagkataranta
muddy maputik
mudguard madgad
muff mali
muffin keik
muffled panyo
mug pagmumukha
mugging pambubugbog
muggy maalinsangan
mulatto mulato
mulch malts
mulching pagmamalts
mule mola
mull kaguluhan
mullah mulla
mullet banak
multiculturalism multikulturalismo
multiple maramihang
multiples multiple
multiplex marami
multiplication pagpaparami
multiplied pinarami
multiply magpakarami
multiplying pagpaparami
multitudinous marami
mummery palabas
mummification pagkatuyo
mummify matuyo
mummy momya
mumps baiki
mundane makalupa
municipal munisipal
municipalities munisipyo
municipality munisipyo
munificent mapagbigay
murals mural
murdered pinatay
murderous nakamamatay
murders pagpatay
muriatic miyurietik
murk dilim
murky madilim
murmurous malaglas
muscle kalamnan
muscles kalamnan
muscular matipuno
muscularity kalamnan
musculature kalamnan
muse paraluman
museum museo
museums museo
mush putik
mushroom kabute
mushrooms kabute
mushy malambot
music musika
musician musikero
musicians musikero
musick tugtugin
Musik Musika
musk mask
musket maskit
musketeer mosketero
muslim moro
muslims Muslim
Muss Kuyumusin
mussel tahong
Mussulman Moro
must dapat
mustache bigote
mustard mustasa
mutable nababago
mutation pagbago
mute pipi
muted mahina
muteness kapipihan
mutilated luray
mutilation pinsala
mutineer manghihimagsik
mutinous mapanlaban
mutt ulol
mutter magbubulong
mutuality tulungan
mutually kapwa
Mynheer Ginoo
myrrh mira
mysteries misteryo
mysterious mahiwaga
mystery misteryo
mystic mistiko
mysticism mistisismo
mystification mistipikasyon
mystify magpataka
mystique kahiwagaan
mythological mitolohiko
nab dakpin
Nabuchodonosor Nabucodonosor
nag magmura
naiad nayad
nail kuko
nailed ipinako
nailing ipinapako
nails kuko
naked hubad
nakedness kahubaran
name pangalan
named pinangalanan
namely katulad
names pangalan
namesake kapangalan
naming pagpapangalan
nankeen nankin
nanny nars
nanometre nanometer
nanometres nanometers
nape batok
Naphtali Nephtali
naphtha napta
napkins napkin
naples Napoles
napoleon napoleondor
Napoleonic Napoleonik
nappy mahimulmol
narcissus narkisus
narcosis narkosis
narrate magsaysay
narrated isinalaysay
narration pagsasalaysay
narrations pagsasalaysay
narrative nagkukuwento
narratives salaysay
narrator tagapagsalaysay
narrow makitid
narrowed mapakipot
narrower makitid
narrowing kitid
narrowly mahigpit
narrowness liit
narwhal nabel
nascent nagbubuhat
nasturtium nastursiyum
nasty pangit
nation bansa
national pambansa
nationalisation pagsasabansa
nationalised nationalized
nationalising nationalizing
nationalism nasyonalismo
nationalist makabayan
nationalistic makabayan
nationality nasyonalidad
nationhood pagkabansa
nations bansa
native katutubong
natives katutubo
nativity kapanganakan
natty makisig
naturalisation naturalisasyon
naturalised naturalized
naturalism naturalismo
naturalist naturalista
naturalization naturalisasyon
naturally natural
nature kalikasan
natured mapagbigay
naught sero
nausea pagkahilo
nauseate maalibadbaran
nauseated nasusuka
nauseous nakakaduwal
nautilus karakol
navel pusod
navigated navigate
navigating navigate
navigation nabigasyon
navigational paggalugad
navigator maglalayag
navvy manghuhukay
nazi Nasi
nazism nazismo
Neapolitan Nepolitano
near malapit
nearby kalapit
nearer malapit
nearest pinakamalapit
nearing palapit
nearly halos
nearness lapit
nears papalapit
nebulas Nebula
necessarily talaga
necessary kinakailangan
necessitate mangailangan
necessite Nangangailangan
necessities pangangailangan
necessitous dukha
necessity pangangailangan
neck leeg
neckband kuwelyo
neckcloth kurbata
neckerchief pupanda
necking pagpapakasawa
necklace kuwintas
necks leeg
necktie kurbata
necromancer nigromante
necromancy nigromansiya
necromantic mahigawa
necropolis nekropolis
necrosis nekrosis
nectar nektar
Neddy Asno
need kailangan
needed kailangan
needeth napaliguan
needful kinakailangan
neediness kadahupan
needing nangangailangan
needle karayom
needles karayom
needlework pananahi
needs pangangailangan
needy maralita
negate magkaila
negation pananalansang
negative negatibo
negatively negatibo
negatives negatibo
negativism negatibismo
negativity negatibiti
negev Negueb
neglect kapabayaan
neglected nagpapabaya
neglectful pabaya
neglecting pagpapakahirap
negligee peynuwa
negligence kapabayaan
negligent pabaya
negociation aareglo
negotiable mabibili
negotiations negosasyon
negotiator negosyante
Nehemiah Nehemias
neigh humalinghing
Neighbor Kapuwa
neighborhood lugar
neighborhoods kapitbahayan
neighboring kalapit
Neighbors Kapitbahay
neighbourhood lugar
neighbourhoods kapitbahayan
neighbouring kalapit
neighbourliness neighborliness
neighbours kapitbahay
neighing paghalinghing
nemesis katarungan
neolithic Neolitiko
neologism neolohismo
neoplasm maga
nephews pamangkin
nephritis nepritis
nepotism nepotismo
neptune Neptuno
neptunium neptuniyum
nerves nerbiyos
nervous kinakabahan
nervousness pagkamatatakutin
nervy matipuno
nest pugad
nesting suntok
nestle sumalagmak
nestled napaliligiran
nestling inakay
nests pugad
net lambat
Netherlander Olandes
nethermost pinakamababa
netting lalambatin
nettle makagalit
neuralgia neuralhiya
neurasthenia neurastenya
neurology neurolohiya
neurons neuron
neurotic matatakutin
neutralisation neutralisasyon
neutralise neutralisahin
neutralised neutralized
neutralising neutralizing
neutralize neutralisahin
neutrons neutron
Neva Neba
new bago
newest pinakabago
Newfoundland Nyufaunlend
newly bagong
Newmarket Nyumarket
newness kabaguhan
news balita
newsman periyodista
newspaper pahayagan
newspapers pahayagan
newsstands newsstand
newsy mabalita
newt tritonus
next susunod
nibs ginoo
Nicaragua Nikaragua
nice maganda
nicely mahusay
niceness inam
nick bumingaw
nickel nikel
nickname palayaw
nicknamed palayaw
nicotine nikotina
nifty nakakatawang
nigeria Nigerya
nigger nugger
niggle magpakaabala
nigh malapit
night gabi
nightclubs nightclub
nightfall takipsilim
nightingale ruwisenyor
nightmare bangungot
nightmares bangungot
nights gabi
nihilism nihilismo
nihilist nihilista
nihilistic nihilistik
nil kawalan
nile Nilo
nimble maliksi
nimbleness liksi
nimbus ulap
nincompoop gago
nine siyam
nineteen labinsiyam
nineteenth ikalabinsiyam
ninetieth ikasiyamnapu
ninety siyamnapu
nineveh Ninive
ninny gago
ninth ikasiyam
nipper sipit
nipping kinurutin
nipple utong
nitrate nitrayd
nitre salitre
nitric nitrik
nitrogen nitroheno
nitrogenous nitrohenus
nitroglycerine nitrogliserina
nitwit tanga
Nix Nikakatiting
no hindi
noble marangal
nobleness kadakilaan
nobly matenakan
nocturnal panggabi
nocturne nokturno
nod tumango
nodal sentral
nodded tumango
noddle ulo
noddy uto
node buko
noise ingay
noiselessly tahimik
noisily maingay
noisome mabaho
noisy maingay
nomadic lagalag
nomads lagalag
nominated iminungkahi
nominations nominasyon
nominative palagyo
nominee kandidato
nominees nominado
nonconformist nonkonpormista
nonconformity nonkonpormiti
nondescript kakatuwa
none wala
nonentity wala
nonetheless gayunman
nonplussed nalito
noodle pansit
nook panulukan
noon tanghali
noonday minindal
noose silo
nor ni
nordic Nordiko
norm pamantayan
normalcy kanormalan
normalisation normalisasyon
normalise normalisahin
normalised normalize
normalising normalizing
normality kanormalan
normally normal
norman Normando
normandy Normandiya
normative normatibo
Norseman Skandinabyan
north hilaga
northbound pahilaga
northern hilagang
Northumbrian Nortumbrian
northward pahilaga
northwards pahilaga
norway Norwega
nose ilong
nosed ilong
nosedive pagbulusok
nosey ilungan
nostalgia galimgim
nostalgic nostalhik
nostrum panlunas
nosy ilungan
not hindi
notary notaryo
notation notasyon
notch bingaw
notched bingot
notching hiwa
note nota
notebook kuwaderno
notebooks notebook
noted litaw
nothing wala
notice paunawa
noticed Napansin
notices abiso
noticing pagpansin
notification abiso
notified aabisuhan
notifies Inaabisuhan
notifying aabiso
noting pagpuna
notion paniwala
nougat nugat
nought sero
noun pangngalan
nouns pangngalan
nourish magpakain
nourished inalagaan
nourishing pampalusog
nourishment pagpapakain
Nov Nobyembre
novel nobela
novelist nobelista
novels nobelang
novelties Novelty
november Nobyembre
novice baguhan
now ngayon
noxious nakakalason
nuance pananarinari
nuclear nuklear
nucleus pinakaubod
nude hubad
nudeness kahubaran
nudes medyas
nudism nudismo
nudist kakalok
nudity kahubdan
nugget tipak
nuisance istorbo
null wala
numb manhid
numbed manhid
number numero
numbering pagnunumero
numberless mabilang
numbers numero
numbness pamamanhid
numeracy pagbilang
numeral pamilang
numerate magbilang
numerator tagabilang
numerology numerolohiya
numerous maraming
numismatic numismatik
numismatics numismatika
numskull tanga
nun madre
nuns madre
nuptial kasal
nuptials pagkakasal
Nuremberg Nuremberk
nurse nars
nursed inalagaan
nursemaid yaya
nurseryman maghahalaman
nurtured kinalakhan
nutation yuko
nutmeg duguan
nutrient nakapagpapalusog
nutriment pamo
nutrition pagkain
nutritionist nutrisyunista
nutritious pampalusog
nutritive pampalusog
nuzzle sumungkal
nylon naylon
nymph nimpa
nymphomania nimpomanya
oaf ungas
oafish tanga
oak owk
oakum oukum
oar sagwan
oarsman mananagwan
oat obena
oath panunumpa
oatmeal otmil
obedience pagtalima
obedient masunurin
obediently masunuring
obeisance galang
obese napakataba
obey sumunod
obeyed Sinunod
obeying pagsunod
obfuscate tumaranta
obfuscated nakapailalim
object bagay
objected tumutol
objecting tumututol
objection pagtutol
objective layunin
objectively talaga
objectors magsundalo
oblation handog
oblations alay
obligate isumpa
obligated obligadong
obligation obligasyon
obligations obligasyon
obligatory sapilitan
obliged nagpapasalamat
oblique pahilig
obliquity paglihis
obliterate mapawi
obliteration pagwawasak
oblivion limot
oblivious makakalimutin
obliviousness kalimutan
oblong haba
obloquy paglihis
obnoxiously nakaiinis
oboe obo
oboist oboista
obscene malaswa
obscenity kalaswaan
obscura obskura
obscurantism oskurantismo
obscurantist oskurantista
obscuration pagpapadilim
obscured matatakpan
obscurity dilim
obsequies paglilibing
obsequious masuyo
obsequiousness kasuyuan
observance pagtalima
observances pagdiriwang
observant mapagmasid
observation pagmamasid
observations obserbasyon
observatories obserbatoryong
observatory obserbatoryo
observe obserbahan
observed siniyasat
observer tagamasid
observers nagmamasid
observes inoobserbahan
observing pagmamasid
obsessed nahuhumaling
obsession kinahuhumalingan
obsidian obsidiyano
obsolescence pagtanda
obsolescent tumatanda
obstacle balakid
obstacles balakid
obstetricians Obstetrician
obstinate sutil
obstreperous nagkagulo
obstruct masawata
obstructed barado
obstructing nakaharang
obstruction bara
obstructionism obstraksyonismo
obstructive nakahahadlang
obtain makuha
obtainable makakamtan
obtained nakuha
obtaining pagkuha
obtrude gumiit
obtrusive mapanghimasok
obtrusiveness kapilitan
obtuseness katangahan
obvious halata
occasion okasyon
occasions okasyon
occlusion hadlang
occult pambihira
occultism okultismo
occupancy pagsaklaw
occupant nakatira
occupants nangungupahan
occupation trabaho
occupational propesyonal
occupations trabaho
occupies sumasakop
occupy sumakop
occupying sumasakop
occur mangyari
occurred naganap
occurrence pangyayari
occurrences Bahagi
occurring nagaganap
occurs nangyayari
ocean karagatan
Oceania Oseaniya
oceanography oseanograpya
oceans karagatan
ochre okre
Oct Oktubre
octane oktano
octant oktante
octave oktaba
octet oktet
octets octet
october Oktubre
octogenarian oktohenaryo
octopus pugita
oculist okulista
odd kakaiba
oddments labi
odds logro
ode oda
Odessa Odesa
odiousness kapootan
odium pagsisi
odometer oudomiter
odoriferous mabango
odors amoy
odours amoy
Odysseus Odiseus
oedema edema
oesophagus lalamunan
oestrogen estrogen
of ng
offence kasalanan
offences pagkakasala
offended nasaktan
offender sala
offenders maysala
offends Nagpapalayo
offense kasalanan
offenses pagkakasala
offensive nakakasakit
offensives opensiba
offer alok
offered inaalok
offereth naghahandog
offerings handog
offers alok
offertory opertoryo
office opisina
officer pinuno
officers opisyal
offices tanggapan
official opisyal
officially opisyal
officials opisyal
officiated nanungkulan
officious pakialam
officiousness kapakialaman
offing nagbabala
offset ginalaw
offshoot sangay
offspring supling
oft malimit
often madalas
Oftentimes Madalas
ogre dambuhala
oh naku
ohm oum
oil langis
oilcloth ule
oiled nilangisan
oiler aseytera
oilers kapote
oiliness kalangisan
oilskin kapote
oily madulas
ointment pamahid
ok sige
okay Sige
Oktober Oktubre
old luma
olden laon
oldest pinakaluma
oldtimer datihan
oleander adelpa
olfactory olpaktoryo
oligarchical oligarkiya
oligarchy oligarkiya
olive oliba
olives oliba
olympiad olimpyad
olympic Olimpik
oman ante
ombre ombe
omega wakas
omelet torta
omen pangitain
ominous nagbabanta
omission pagkasama
omissions pagtanggal
omit ligtaan
omnipotent makapangyarihan
on sa
oncoming palapit
one isa
onerous mabigat
ones iyan
oneself sarili
ongoing patuloy
onion sibuyas
onlooker manonood
onlookers nagmamasid
only lamang
onset pagsisimula
onshore pakatihan
onto sa
ontology ontolohiya
onus pananagutan
onward pasulong
onyx oniks
oodles karamihan
oolitic oulitik
ooze humulas
opacity kalabuan
opal opalo
open bukas
opened binuksan
opener pambukas
openeth nagbubukas
opening pagbubukas
openings bakanteng
openly hayagan
opens bubukas
operable umaandar
operas Opera
operate patakbuhin
operated pinamamahalaan
operates nagpapatakbo
operation operasyon
operative manggawa
operators operator
operetta opereta
ophthalmic optalmiko
ophthalmologist optalmolohista
ophthalmologists Opthalmologist
opiate pampatulog
opine ipalagay
opinion palagay
opinions opinyon
opium opyo
Oporto Porto
opponent kalaban
opponents kalaban
opportunely mabuti
opportunism pagsasamantala
opportunist mapagsamantala
opportunistic duhapang
opportunists oportunista
opportunities pagkakataon
opportunity pagkakataon
oppose tutulan
opposed tutol
opposers sumasalansang
opposes tumututol
opposing paghadlang
opposite kabaligtaran
oppositely magkasalungat
opposites magkasalungat
opposition pagsalungat
oppressed pinahihirapan
oppressively alingahit
opted isinali
optician optiko
optics optika
optimally mahusay
optimisation optimization
optimise optimize
optimised optimize
optimises Optimizes
optimising optimize
optimism optimismo
optimist palaasa
opting pagpili
option opsyon
optional opsyonal
options pagpipilian
opulence kayamanan
opulent mariwasa
or o
oracular nanghuhula
orally pasalita
orange kahel
oration talumpati
orator mananalumpati
oratorio oratoryo
orators mananalumpati
orb globo
orbit orbita
orbiting orbital
orbits orbit
orchard halamanan
orchards halamanan
orchestra orkestra
orchestras orkestra
orchestrate mamigay
orchestration orkestrasyon
orchid orkidyas
ordained nakalaan
ordaining oorden
ordered order
orderly tagaganap
orders order
ordinance ordenansa
ordinarily kalimitan
ordinariness kakaraniwanan
ordinary pambihira
ordination ordinasyon
organ organo
organically samahang
organisation samahan
organisational organisasyon
organisations organisasyon
organise magsaayos
organised inayos
organisers organizer
organising organizing
organism organismo
organisms organismo
organist organista
Organization Organisasyon
organizations organisasyon
organize magsaayos
organized inayos
organizers organizer
organs organo
orientate mamihasa
orientations oryentasyong
oriented nakatuon
orifice butas
origin pinagmulan
original orihinal
originally orihinal
originals orihinal
originate manggaling
originated buhat
originates nagmumula
originating Pinagmulang
origination pinanggagalingan
originator maylikha
origins pinagmulan
oriole kayumanggi
ornament gayak
ornamental pandekorasyon
ornamentation pagpapalamuti
ornamented ginayakan
ornaments burloloy
ornate mapalamuti
ornery magalit
ornithological ornitolohiko
ornithologist ornitolohista
orphan ulila
orphanage pagkaulila
orphaned naulila
orpheus Orpius
orthodontist ortodontista
orthodox kinikilala
orthographic ortograpik
orthography ispeling
orthopaedic ortopedik
orthopaedics Orthopedics
oscillation imbayog
oscillator osileytor
oscilloscope osiloskoup
osiris Osairis
osmium osmiyum
osmosis pagtagas
osmotic osmotik
oss Amin
ostensible kunwari
ostentation karangyaan
ostentatious mapagpasikat
ostler sota
ostracised ostracized
ostracism ostrasismo
other iba
Ottawa Otawa
ottoman sopa
ouch aray
ought ala
ounce onsa
ours atin
oust paalisin
ousted nagpatalsik
ouster pagpapatalsik
out palabas
outbound papalabas
outbreaks paglaganap
outburst silakbo
outbursts silakbo
outcome kinalabasan
outcomes kinalabasan
outcrop pagkakahayag
outdo lumalo
outdoors labas
outer panlabas
outermost pinakamalayo
outface tarantahin
outfall wawa
outfit sangkapan
outflank luminlang
outflows outflow
outfox luminlang
outgoing papalabas
outgrow mataasan
outgrowth pagtubo
outing pagliliwaliw
outlaw ipagbawal
outlawed ipinagbawal
outlay paggugol
outlet labasan
outlets saksakan
outline balangkas
outlined binalangkas
outlining pagbalangkas
outlook tanawan
outlying malayo
outmanoeuvre luminlang
outmanoeuvred outmaneuvered
outnumber lumalo
outpatient autpeysiyent
outperform nadadaig
outpost guwardya
outpouring pagbubuhos
outputs output
outrageous mapangahas
outrageously bastos
outrank mataasan
Outre Katuwa
outrigger batangan
outs pagkontra
outset pasimula
outshine madaig
outsider tagalabas
outsiders tagalabas
outspokenly tahasan
outspread magpalaganap
outstanding natitirang
outstay makapagtiis
outstretched nakabuka
outstrip madaig
outward panlabas
outwards palabas
outweigh lumamang
outwit malinlang
outworking pagsasakatuparan
ovary obaryo
ovation papuri
ove property
oven tapahan
ovens oven
overall pangkalahatang
overalls oberols
overbalance patagilirin
overbearing mapanupil
overcame nadaig
overcast maulap
overcoat sobretodo
overcome pagtagumpayan
overcrowd masikip
overcrowding pagsisikip
overdone pinalabis
overflow apaw
overflowed umapaw
overflowing umaapaw
overflown apawan
overfull paulo
overground pantao
overgrown tinutubuan
overgrowth lamba
overhang umbok
overhear maulinigan
overheard narinig
overland pangkatihan
overlap magsanib
overlapped kasabayan
overlaying balot
overlays overlay
overloaded overload
overlook tunghayan
overlooking matatanaw
overlord panginoon
overly labis
overmastering nagpapasuko
overmuch labis
overnight magdamag
overpass oberpas
overplus labis
overpower magapi
overpowered lupig
overpowering nagpapasuko
overreach lampasan
overreached malamangan
overridden masapawan
overrides Sinasapawan
overriding pinakamahalaga
overripe laos
overrun sumobra
oversaw pinangasiwaan
oversee mangasiwa
overseeing nangangasiwa
overseen pinangasiwaan
overseer tagapangasiwa
overseers tagapangasiwa
oversees nangangasiwa
overset tumaob
overshadowed lumilim
overspread magpalaganap
overstepped nilabag
overt pantao
overtake lampasan
overtaken abot
overtaking abot
overthrow magtumba
overthrowing pagbabagsak
overthrown napapahamak
overtime obertaym
overtone oberton
overtook inabutan
Overtop Pumaibabaw
overture alok
overturn ibagsak
overturned binawi
overturning pagtitiwarik
overuse lusparin
overused baldado
overweening hambog
overwhelm matabunan
overwhelmed magapi
overwhelming napakalaki
overwhelmingly lubha
overwriting Sasapawan
overwritten mapapatungan
oviduct obidukto
ovulation obulasyon
owed inutang
owl bahaw
own sarili
oxalic okselik
oxidation oksihenasyon
oxide oksido
oxygen oksiheno
oxymoron oksimuron
oyster talaba
oysters talaba
ozone osono
pacemaker peysmeyker
pacemakers pacemaker
pacer peyser
pachyderm pakiderm
pacific pamayapa
pacification pagpapatahimik
pacified mapayapa
pacifier tagapayapa
pacifism pasipismo
pacifist pasipista
pacifists tagapamayapa
pacify umawat
pack pakete
package pakete
packaged nakabalot
packed nakaimpake
packer tagabalot
packets packet
packing basta
packs pack
pact pagkakaisa
padding palaman
paddle magtampisaw
paddles sagwan
paddy palayan
padlock kandado
padrone padron
paean payan
paediatric pediatric
paediatrician pedyatrisyan
paediatrics pedyatrya
paedophile pedophile
paedophiles pedophiles
paedophilia pedopilya
pagan pagano
paganism pagkapagano
pagans pagano
page pahina
pagodas pagoda
paid bayad
pail timba
pain sakit
pained nasasaktan
painful masakit
pains panganganak
painstaking napakaingat
paint magpinta
painted ipininta
painter pintor
painters pintor
painting pagpipinta
paints pintura
pair pares
paired pagpaparisin
pairing pagpapares
pairs pares
pajamas padyama
pakistan Philippines
pal kalaro
palace palasyo
palaeolithic palyolitik
palaeontologist palyontologista
palaeontology palyontologiya
palanquin palankwin
palatable malinamnam
palatal paleytal
palate panlasa
palatinate palatineyt
palatine palatin
palaver tsismis
pale maputla
paled namutla
paleness pamumutla
Palestine Palestina
Palestinian Palestino
palette paleta
palimpsest palimsest
palindrome palindromya
palisade tulos
pall magsawa
palladium paleydyum
pallet papag
palliation pagkukubli
palliative pampakalma
pallid maputla
pallor pamumutla
palm palad
palmy masagana
Palmyra Palmira
palpitant tumitibok
palpitating masikdo
palsied pasmado
palsy maparalisa
pampered layaw
pampering pagpapalayaw
pamphlet pamplet
pamphlets pamplet
pan kawali
panache gilas
pancakes pancake
pancreas lapay
pandemics paglaganap
pander manunulsol
panegyric panedyayrik
paneled panelled
panelling paneling
panes pane
pangolin pangoli
pangs pagdaramdam
panic sindak
panicky nagkakagulo
panjandrum pandyandrum
pannier basket
pannikin panikin
panoramas panorama
pans Kawali
pansy bading
pantheism panteismo
pantheist panteista
pantheistic panteista
pantheon panteon
panther panter
panties panti
pantograph pantograp
pantomimic pantomima
pantry dispensa
pants pantalon
paper papel
papers papeles
papist makapapa
papists kapapahan
pappy itay
papyrus papirus
parable parabula
parables talinghaga
parabolic paparabola
paraboloid paraboloyd
parachute parasyut
parachutist parasyutista
parade parada
paraded parada
parades parada
paradigm tularan
paradise paraiso
paradox kabalintunaan
paradoxical makabalighuan
paraffin parapin
paragon huwaran
paragraph talata
paragraphs talata
paraguay Paragway
parallax paralaks
parallel pagpaparis
parallelepiped paralelipiped
parallelism paralelismo
parallelogram paralelogram
paralyse maparalisa
paralysed paralisado
paralyses paralyzes
paralysing paralyzing
paralysis paralisis
paralytic paralitiko
paralyze maparalisa
paralyzed paralisado
paramagnetic paramagnetik
paramedic paramediko
paramedical paramediko
paramedics paramedic
parameter parametro
paramilitary paramilitar
paramour kerida
paranoia paranoya
paranoid paranoyd
paraphernalia kagamitan
parapsychology parasihologiya
parasites parasitiko
parasitic parasitiko
parasitical parasitiko
parasitism parasitismo
parasol payong
parboil sangkutsahin
parcel parsela
parcelled parceled
parcelling paghahati
parch magdarang
parched tigang
parching natitigang
parchment sulatan
pardon patawad
pardonable mapagpapaumanhinan
pardoned pinatawad
pardons nagpapatawad
pare magkayas
pared akba
parent magulang
parentage angkan
parental pangmagulang
parentheses saknong
parenthesis panaklong
parenthetic nakakahinto
parenthetical nakakahinto
paring balat
parish parokya
parishes parokya
parishioner parokyano
parishioners parokyano
park parke
parking paradahan
parley panayam
parliament parliyamento
parliamentarian parlyamentaryo
parliamentary parlyamentaryo
parlor sala
parlors Parlor
parlour sala
parlourmaid katulong
parlours Parlor
parlous mapanganib
parochialism parokyalismo
parodist parodista
parody patawa
parole parol
paroled parol
paroxysm bulalas
parrot loro
parry ilag
parsed parse
parsimonious maigot
parsley perehil
parson pare
part bahagi
partake sumalo
partaker makabahagi
partakers karamay
partaking pagsalo
parted hati
parthenogenesis partenogenesis
Parthian Partian
partiality pagkiling
partially bahagyang
partibus Bahagi
participant kalahok
participants kalahok
participate sumali
participated lumahok
participates lumalahok
participation paglahok
participial partisipulo
participle pandiwari
particles particle
particular partikular
particularism partikularismo
particularity partikularidad
parties partido
parting pamamaalam
partisan partidista
partisanship pagkapartisano
partition pagkahati
partitions partisyon
partner kasosyo
partnered nakipagsosyo
partnering kasosyong
partnership sosyohan
partnerships pakikipagtulungan
partook nakibahagi
partridge partrids
party partido
pascal paskal
pass pumasa
passage daanan
passages talata
passageway daanan
passageways daanan
passed lumipas
passenger pasahero
passengers pasahero
passers dumadaan
passeth maraanan
passin ipasa
passing pagdaan
passionate masintahin
passions hilig
passo Hakbang
passover paskua
passport pasaporte
passports pasaporte
past nakalipas
pastas pasta
pasteboard karton
pasted ilagay
pasteurised pasteurized
pastiche pastich
pastille pastil
pasting dikit
pastorate kura
pastors pastor
pastry pastelerya
pasturage pagpapastol
pasture pastulan
pastures pastulan
pat tapik
Patagonia Patagonya
patch magtagpi
patched tagping
patches patch
patent patente
patented patentadong
patently malinaw
patents patente
path landas
pathologist patologo
pathology patolohiya
paths landas
pathway landas
pathways daanan
patience pagtitiis
patient pasyente
patiently matiyagang
patients pasyente
patio patyo
patois dyalekto
patriarch apo
patriarchal makaama
patrician aristokrato
patrimonial mana
patrimony mana
patriotic makabayan
patriotically makabayang
patriotism pagkamakabayan
patriots makabayan
patrol pagpapatrolya
patronage pagtangkilik
patronise sumuyo
patronising patronizing
patronize sumuyo
patronized patronised
patrons tagatangkilik
patted tinapik
patten paten
patter satsat
pattern parisan
patterns stock
paucity pagkasalat
paunch tiyan
pauperism kahirapan
pauses pause
pave paghandaan
paved aspaltado
pavement palitada
pavilion pabilyon
pavilions pavilion
paving kalye
paw paa
pawn nakasangla
Pawnee Pinagsanglaan
pawnshop sanglaan
pawpaw papaya
pay magbayad
payable mababayaran
payer nagbabayad
paying nagbabayad
payload kargamento
paymaster tagapagbayad
payment pagbabayad
payments pagbabayad
payphones payphone
pays nagbabayad
pea gisantes
peace kapayapaan
peaceable payapang
peaceful mapayapa
peacefully patiwasay
peacemaker tagapamayapa
peacemakers tagapamayapa
peach melokoton
peachy maganda
peacock paboreal
peafowl pifawl
peak tugatog
peaked masakitin
peaky matulis
peal repike
peanut mani
pear peras
pearl perlas
pearls perlas
peasant magsasaka
peasants magsasaka
Pease Gisantes
peat pit
peaty piti
pecan pekan
peccary baboy
pecker titi
peckish matuka
Pecksniff Peksnip
pectin pektin
pectoral pektoral
pectorals pektoral
peculiar kakaiba
peculiarly kakaiba
pedagogic paturo
pedagogical paturo
pedalled pedaled
pedalling pedaling
pedant metikuloso
pedantic mapagpilosopo
pedantry pamimilosopo
peddle maglako
peddler maglalako
peddlers tagapaglako
peddling palako
pedestrianisation pedestrianization
pedestrianised pedestrianized
pedestrians pedestrian
pediment pedimento
pedlar maglalako
pedology pedolohiya
peek silip
peeked sumilip
peeking sumisilip
peeler pambalat
peeling pagbabalat
peep sumilip
peeper maninilip
peephole silipan
peeping sumisilip
peer kauri
peerage pagdungaw
peers kapantay
peevish masungit
peevishness pagmamaktol
peg paltak
pejorative nakakasira
pelican pelikano
pelisse pelis
pellet bulitas
pellets Yelo
